estimator,policy,alpha,rep,est_real,est_calib_only,truth
direct_saddle,uniform,0.05,0,0.025537651057522356,0.02410517727033433,0.025000000000000005
direct_saddle,uniform,0.1,0,0.04737791648249455,0.045421626496505954,0.05000000000000001
direct_saddle,uniform,0.2,0,0.09963264664907778,0.09495116631840918,0.10000000000000002
plugin_quantile,uniform,0.05,0,0.09568842920434101,0.09595613994413238,0.025000000000000005
plugin_quantile,uniform,0.1,0,0.12800102078952685,0.12782374113523287,0.05000000000000001
plugin_quantile,uniform,0.2,0,0.1694802906221431,0.16808799466189278,0.10000000000000002
plugin_ru_dual,uniform,0.05,0,0.09567514640282793,0.09593488746171146,0.025000000000000005
plugin_ru_dual,uniform,0.1,0,0.1278973458082229,0.12773043365205933,0.05000000000000001
plugin_ru_dual,uniform,0.2,0,0.16947215627548845,0.1679262237443384,0.10000000000000002
direct_saddle,uniform,0.05,1,0.02867727244974233,0.02451806384006493,0.025000000000000005
direct_saddle,uniform,0.1,1,0.05961358335205333,0.05209862007431219,0.05000000000000001
direct_saddle,uniform,0.2,1,0.11496052089774235,0.10004391294057617,0.10000000000000002
plugin_quantile,uniform,0.05,1,0.13905140822813486,0.11812741123281452,0.025000000000000005
plugin_quantile,uniform,0.1,1,0.1631622875732649,0.14571568442572438,0.05000000000000001
plugin_quantile,uniform,0.2,1,0.19665681363988533,0.18270510475162233,0.10000000000000002
plugin_ru_dual,uniform,0.05,1,0.13856011472038962,0.11711753013356035,0.025000000000000005
plugin_ru_dual,uniform,0.1,1,0.16253684073035649,0.14548403744686947,0.05000000000000001
plugin_ru_dual,uniform,0.2,1,0.1963871482384758,0.18266973243205872,0.10000000000000002
direct_saddle,right_skew,0.05,0,0.04375351137078286,0.044239998644077426,0.04097252711860211
direct_saddle,right_skew,0.1,0,0.0601915558161664,0.0607483653164808,0.05966354426538299
direct_saddle,right_skew,0.2,0,0.08544218914513947,0.08635676113262605,0.08833469969738249
plugin_quantile,right_skew,0.05,0,0.12713897584371175,0.12810254363715207,0.04097252711860211
plugin_quantile,right_skew,0.1,0,0.13130652062013268,0.13184234575403586,0.05966354426538299
plugin_quantile,right_skew,0.2,0,0.14697450654066702,0.15041194446881667,0.08833469969738249
plugin_ru_dual,right_skew,0.05,0,0.1271208459508492,0.1277286895678547,0.04097252711860211
plugin_ru_dual,right_skew,0.1,0,0.13022708964209126,0.130531011450594,0.05966354426538299
plugin_ru_dual,right_skew,0.2,0,0.14550440395089587,0.1487163126511053,0.08833469969738249
direct_saddle,right_skew,0.05,1,0.04866351053794476,0.045955201642379054,0.04097252711860211
direct_saddle,right_skew,0.1,1,0.06806028829154048,0.0642156728473013,0.05966354426538299
direct_saddle,right_skew,0.2,1,0.09424877682927271,0.09004818691966597,0.08833469969738249
plugin_quantile,right_skew,0.05,1,0.12987151552278406,0.12682185138263272,0.04097252711860211
plugin_quantile,right_skew,0.1,1,0.14788379726916284,0.13611176278044404,0.05966354426538299
plugin_quantile,right_skew,0.2,1,0.17049735440783478,0.16315381849681632,0.08833469969738249
plugin_ru_dual,right_skew,0.05,1,0.12657913632095866,0.1245369092535413,0.04097252711860211
plugin_ru_dual,right_skew,0.1,1,0.14762290149381266,0.13607449195539406,0.05966354426538299
plugin_ru_dual,right_skew,0.2,1,0.1700520681261847,0.16221634519514477,0.08833469969738249
direct_saddle,left_skew,0.05,0,0.3319594566976188,0.34227795041216386,0.3431709999746847
direct_saddle,left_skew,0.1,0,0.3978988765241636,0.40355466584415817,0.4000320738436575
direct_saddle,left_skew,0.2,0,0.46487683118396567,0.4675982183191607,0.4685343113273678
plugin_quantile,left_skew,0.05,0,0.4828792052421276,0.4970312510451869,0.3431709999746847
plugin_quantile,left_skew,0.1,0,0.5188817725228069,0.5203204532584289,0.4000320738436575
plugin_quantile,left_skew,0.2,0,0.5561892395104141,0.5540497090468804,0.4685343113273678
plugin_ru_dual,left_skew,0.05,0,0.4827977133899573,0.49605334881914265,0.3431709999746847
plugin_ru_dual,left_skew,0.1,0,0.5180203573126826,0.5197359215087016,0.4000320738436575
plugin_ru_dual,left_skew,0.2,0,0.5558362543224019,0.5535370937876957,0.4685343113273678
direct_saddle,left_skew,0.05,1,0.3345760406345168,0.3468169812686101,0.3431709999746847
direct_saddle,left_skew,0.1,1,0.3859527778119559,0.39702801138753585,0.4000320738436575
direct_saddle,left_skew,0.2,1,0.4497667764567377,0.4598987086928696,0.4685343113273678
plugin_quantile,left_skew,0.05,1,0.41804979275951515,0.43307053273331353,0.3431709999746847
plugin_quantile,left_skew,0.1,1,0.4481712810042066,0.4629303605122102,0.4000320738436575
plugin_quantile,left_skew,0.2,1,0.5243107918169376,0.540292283879434,0.4685343113273678
plugin_ru_dual,left_skew,0.05,1,0.41719265792715404,0.4313562630685913,0.3431709999746847
plugin_ru_dual,left_skew,0.1,1,0.44775170182672797,0.4629303605122102,0.4000320738436575
plugin_ru_dual,left_skew,0.2,1,0.5241522907373714,0.540127858996471,0.4685343113273678
direct_saddle,tail_heavy,0.05,0,0.0,0.0,0.002053632378219312
direct_saddle,tail_heavy,0.1,0,0.006983997286894866,0.008819798031460088,0.008184178458267011
direct_saddle,tail_heavy,0.2,0,0.03411163802993834,0.04020073654048961,0.03225535810568046
plugin_quantile,tail_heavy,0.05,0,0.04555642967255647,0.057755513919836285,0.002053632378219312
plugin_quantile,tail_heavy,0.1,0,0.061158771326813105,0.07903237992380738,0.008184178458267011
plugin_quantile,tail_heavy,0.2,0,0.0912725948598813,0.10831363455038291,0.03225535810568046
plugin_ru_dual,tail_heavy,0.05,0,0.045523187970778894,0.05516393943515829,0.002053632378219312
plugin_ru_dual,tail_heavy,0.1,0,0.061090636281551564,0.07670490410765932,0.008184178458267011
plugin_ru_dual,tail_heavy,0.2,0,0.09118884313246334,0.10806114620064779,0.03225535810568046
direct_saddle,tail_heavy,0.05,1,0.0,0.00045247708508247553,0.002053632378219312
direct_saddle,tail_heavy,0.1,1,0.007909361897085295,0.009990385434231745,0.008184178458267011
direct_saddle,tail_heavy,0.2,1,0.03394959553089458,0.03817226309025351,0.03225535810568046
plugin_quantile,tail_heavy,0.05,1,0.039334081819394046,0.04053289618246348,0.002053632378219312
plugin_quantile,tail_heavy,0.1,1,0.04529041616211177,0.06272798540404997,0.008184178458267011
plugin_quantile,tail_heavy,0.2,1,0.09182076883576107,0.10361527085287711,0.03225535810568046
plugin_ru_dual,tail_heavy,0.05,1,0.03386806429660308,0.03869135395556239,0.002053632378219312
plugin_ru_dual,tail_heavy,0.1,1,0.045036846676452885,0.06265633666586029,0.008184178458267011
plugin_ru_dual,tail_heavy,0.2,1,0.09138594684828946,0.10326460795975491,0.03225535810568046
